Title	Series	World	Author	Words	Start	Finish	Rating
The Hobbit		Middle-Earth	J.R.R. Tolkien	95,356			
The Final Empire	Mistborn Era 1	Cosmere	Brandon Sanderson	214,752	8/18/2022		
The Well of Ascension	Mistborn Era 1	Cosmere	Brandon Sanderson	252,739			
The Hero of Ages	Mistborn Era 1	Cosmere	Brandon Sanderson	244,201			
The Alloy of Law	Mistborn Era 2	Cosmere	Brandon Sanderson	85,000			
Shadows of Self	Mistborn Era 2	Cosmere	Brandon Sanderson	112,000			
The Bands of Mourning	Mistborn Era 2	Cosmere	Brandon Sanderson	127,000			
The Way of Kings	The Stormlight Archive	Cosmere	Brandon Sanderson	383,389			
Warbreaker		Cosmere	Brandon Sanderson	196,014			
Words of Radiance	The Stormlight Archive	Cosmere	Brandon Sanderson	399,431			
Edgedancer	The Stormlight Archive	Cosmere	Brandon Sanderson	40,666			
Oathbringer	The Stormlight Archive	Cosmere	Brandon Sanderson	451,912			
Dawnshard	The Stormlight Archive	Cosmere	Brandon Sanderson	56,282			
Rythmn of War	The Stormlight Archive	Cosmere	Brandon Sanderson	455,891			
The Eye of the World	The Wheel of Time		Robert Jordan	305,902	9/23/2022		
The Great Hunt	The Wheel of Time		Robert Jordan	267,078			
The Dragon Reborn	The Wheel of Time		Robert Jordan	251,392			
